Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Lonzo Ball,37:38,3,18,.167,1,9,.111,0,0,,1,6,7,8,2,0,4,2,7,-8
Zion Williamson,36:52,12,24,.500,0,2,.000,8,11,.727,4,4,8,1,0,2,4,0,32,-1
Brandon Ingram,35:18,5,11,.455,1,4,.250,8,8,1.000,0,2,2,4,0,0,2,1,19,-16
Eric Bledsoe,32:45,4,7,.571,1,2,.500,2,3,.667,1,4,5,4,1,1,1,0,11,-8
Willy Hernangómez,25:07,4,5,.800,0,0,,2,2,1.000,0,7,7,1,0,1,0,0,10,-17
Naji Marshall,27:20,4,6,.667,2,4,.500,2,2,1.000,0,6,6,1,1,0,1,0,12,-14
James Johnson,16:16,3,10,.300,0,3,.000,0,0,,2,3,5,0,0,0,1,4,6,-16
Jaxson Hayes,14:12,4,4,1.000,0,0,,1,2,.500,2,2,4,0,1,0,3,1,9,-5
Kira Lewis,7:05,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
James Nunnally,2:29,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,0,0,1,+4
Wenyen Gabriel,2:29,0,2,.000,0,1,.000,1,2,.500,1,0,1,0,1,0,0,0,1,+4
Wesley Iwundu,2:29,0,2,.000,0,0,,0,0,,1,0,1,1,0,0,0,0,0,+4
