Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Julius Randle,30:10,.760,.719,.563,.438,4.2,22.7,14.6,16.6,0.0,0.0,13.6,35.9,130,95,4.8
Reggie Bullock,27:45,.917,.917,.833,.000,0.0,17.7,9.9,5.9,1.9,0.0,0.0,21.2,163,94,13.0
RJ Barrett,27:45,.799,.786,.143,.571,0.0,0.0,0.0,20.1,3.8,3.2,10.2,17.2,152,95,6.4
Elfrid Payton,24:42,.400,.375,.333,.333,5.1,19.8,13.4,49.6,4.3,3.6,6.8,29.3,114,85,0.8
Nerlens Noel,24:17,,,,,20.8,8.1,13.6,4.6,4.4,14.6,,0.0,237,83,4.9
Taj Gibson,20:59,1.011,1.000,.000,.200,6.0,18.7,13.1,7.2,5.1,8.5,15.5,15.1,169,81,12.8
Derrick Rose,20:34,.509,.500,.500,.333,0.0,9.5,5.4,13.0,5.2,0.0,0.0,16.4,116,90,-2.4
Immanuel Quickley,17:31,.732,.583,.333,.833,0.0,16.8,9.4,23.6,0.0,0.0,0.0,23.0,164,98,3.8
Obi Toppin,15:51,.500,.500,.500,.000,0.0,12.4,7.0,8.9,0.0,0.0,0.0,24.8,103,100,-9.6
Alec Burks,15:12,.000,.000,1.000,.000,0.0,12.9,7.3,29.4,0.0,5.8,33.3,9.7,80,96,-7.9
Kevin Knox,5:03,1.500,1.500,1.000,.000,0.0,19.4,10.9,65.6,0.0,0.0,0.0,29.1,283,96,58.2
Theo Pinson,2:44,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,0,104,-36.3
Norvel Pelle,2:44,.568,,,,0.0,100.0,60.6,0.0,0.0,65.0,0.0,15.8,123,17,51.3
Frank Ntilikina,2:44,.568,,,,0.0,35.8,20.2,40.8,19.5,0.0,0.0,15.8,158,46,30.5
Jared Harper,1:59,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7,0,106,-37.7
