Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Julius Randle,35:28,.507,.467,.133,.267,3.0,24.1,13.5,41.3,0.0,0.0,23.0,26.5,95,117,-4.1
RJ Barrett,34:22,.819,.833,.200,.133,0.0,24.8,12.4,29.5,0.0,0.0,5.9,21.2,150,117,9.6
Reggie Bullock,25:38,.550,.550,.800,.000,0.0,4.2,2.1,11.9,1.8,0.0,0.0,16.9,109,118,-0.1
Elfrid Payton,22:10,.500,.500,.143,.000,4.8,4.8,4.8,20.0,2.0,0.0,41.7,23.4,69,117,-12.0
Mitchell Robinson,21:10,.521,.500,.000,1.000,10.1,20.2,15.1,0.0,0.0,11.3,0.0,5.9,132,110,-2.7
Alec Burks,31:40,.689,.583,.333,.750,0.0,13.5,6.7,15.2,1.4,2.5,5.9,23.1,134,115,5.2
Obi Toppin,23:33,.375,.375,.583,.000,0.0,13.6,6.8,6.2,0.0,6.8,0.0,22.0,76,115,-3.6
Kevin Knox,18:29,.368,.400,.200,.200,0.0,17.3,8.7,0.0,4.9,4.3,26.9,17.4,49,105,-8.1
Immanuel Quickley,12:26,.579,.333,.333,1.000,0.0,8.6,4.3,11.0,3.6,0.0,0.0,15.0,129,113,1.1
Nerlens Noel,9:22,.500,.500,.000,.000,11.4,22.8,17.1,15.1,4.8,8.5,50.0,18.4,71,101,-5.9
Frank Ntilikina,4:47,.174,.000,.500,1.000,0.0,0.0,0.0,0.0,9.5,0.0,0.0,26.0,38,102,-13.4
Theo Pinson,0:55,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,123,-7.1
