Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
RJ Barrett,38:15,7,17,.412,0,4,.000,3,4,.750,2,6,8,4,1,0,2,4,17,+21
Julius Randle,37:07,8,17,.471,3,5,.600,10,11,.909,3,11,14,7,0,1,2,4,29,+12
Mitchell Robinson,34:40,4,6,.667,0,0,,1,1,1.000,0,6,6,1,2,1,1,2,9,+16
Elfrid Payton,29:18,12,16,.750,3,3,1.000,0,2,.000,1,2,3,7,1,0,3,2,27,+15
Reggie Bullock,16:53,2,5,.400,1,2,.500,2,2,1.000,0,3,3,1,0,0,1,2,7,+1
Kevin Knox,26:15,3,8,.375,1,4,.250,0,0,,0,4,4,2,1,1,1,1,7,+17
Alec Burks,20:30,5,7,.714,4,5,.800,4,5,.800,0,2,2,5,0,0,1,3,18,+21
Frank Ntilikina,18:42,4,6,.667,4,4,1.000,0,0,,0,1,1,0,0,0,1,4,12,+5
Nerlens Noel,13:20,1,1,1.000,0,0,,0,0,,1,3,4,0,0,1,3,1,2,+4
Jared Harper,1:52,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
Theo Pinson,1:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
Ignas Brazdeikis,1:16,0,1,.000,0,0,,2,2,1.000,1,0,1,0,0,0,0,0,2,-4
