Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Julius Randle,33:14,.594,.500,.133,.533,3.8,22.2,14.4,8.3,0.0,3.2,5.1,27.3,120,101,2.2
Nerlens Noel,32:24,.833,.833,.000,.000,3.9,14.2,9.9,0.0,1.5,6.6,14.3,10.1,140,99,2.0
Reggie Bullock,25:11,.900,.900,1.000,.000,0.0,11.0,6.4,4.9,0.0,0.0,0.0,9.2,171,108,4.3
RJ Barrett,22:04,.359,.250,.125,.500,11.4,8.4,9.7,26.8,0.0,0.0,17.0,24.8,92,109,-7.8
Elfrid Payton,21:46,.682,.682,.091,.000,0.0,8.5,4.9,22.4,2.3,0.0,8.3,25.7,127,103,5.8
Alec Burks,23:43,.214,.214,.714,.000,0.0,15.6,9.0,18.8,2.1,0.0,0.0,13.7,74,101,-3.8
Derrick Rose,22:32,.568,.500,.273,.636,0.0,4.1,2.4,18.6,0.0,0.0,6.6,31.2,115,111,-1.4
Immanuel Quickley,21:19,1.022,1.000,.667,.444,0.0,17.3,10.0,15.4,0.0,0.0,8.5,25.7,181,105,17.7
Taj Gibson,15:36,.667,.667,.000,.000,0.0,29.6,17.1,0.0,0.0,0.0,0.0,9.0,128,100,-1.3
Obi Toppin,14:46,.611,.611,.444,.000,0.0,18.8,10.8,0.0,0.0,7.2,0.0,28.4,114,101,2.0
Kevin Knox,3:42,1.000,1.000,.000,.000,0.0,74.8,43.2,40.5,13.4,0.0,0.0,12.6,207,52,38.4
Austin Rivers,2:13,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,112,-6.2
Theo Pinson,1:30,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0,112,-36.8
