Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Julius Randle,33:14,7,15,.467,1,2,.500,7,8,.875,1,8,9,2,0,1,1,2,22,+6
Nerlens Noel,32:24,5,6,.833,0,0,,0,0,,1,5,6,0,1,2,1,4,10,+8
Reggie Bullock,25:11,3,5,.600,3,5,.600,0,0,,0,3,3,1,0,0,0,2,9,+1
RJ Barrett,22:04,2,8,.250,0,1,.000,3,4,.750,2,2,4,5,0,0,2,3,7,+1
Elfrid Payton,21:46,7,11,.636,1,1,1.000,0,0,,0,2,2,3,1,0,1,2,15,+1
Alec Burks,23:43,1,7,.143,1,5,.200,0,0,,0,4,4,4,1,0,0,1,3,+19
Derrick Rose,22:32,5,11,.455,1,3,.333,5,7,.714,0,1,1,3,0,0,1,0,16,+18
Immanuel Quickley,21:19,7,9,.778,4,6,.667,4,4,1.000,0,4,4,2,0,0,1,4,22,+17
Taj Gibson,15:36,2,3,.667,0,0,,0,0,,0,5,5,0,0,0,0,1,4,+14
Obi Toppin,14:46,5,9,.556,1,4,.250,0,0,,0,3,3,0,0,1,0,2,11,+16
Kevin Knox,3:42,1,1,1.000,0,0,,0,0,,0,3,3,1,1,0,0,0,2,+3
Austin Rivers,2:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Theo Pinson,1:30,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+4
