Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Elfrid Payton,37:15,.550,.500,.364,.545,0.0,4.9,2.6,20.4,1.3,0.0,18.0,19.3,102,108,-4.0
RJ Barrett,36:45,.682,.647,.176,.471,2.7,2.5,2.6,26.2,0.0,0.0,8.9,26.5,132,112,4.5
Julius Randle,36:23,.568,.409,.182,.636,5.5,37.3,22.2,36.3,1.3,0.0,12.4,19.1,129,99,7.0
Mitchell Robinson,27:23,.758,.727,.000,.182,14.6,13.2,13.9,7.3,1.7,7.3,0.0,18.8,162,100,9.4
Reggie Bullock,17:03,.750,.750,.625,.000,0.0,10.6,5.6,0.0,2.8,0.0,0.0,20.3,137,103,7.8
Alec Burks,30:57,.477,.313,.375,1.000,0.0,14.6,7.7,4.4,0.0,3.2,8.0,17.5,99,106,-5.6
Nerlens Noel,20:26,.532,.333,.000,2.000,19.6,31.0,25.6,6.6,2.3,19.6,15.1,14.0,126,86,5.0
Obi Toppin,11:47,.512,.500,.000,.500,0.0,30.7,16.1,13.6,0.0,17.0,17.0,21.6,90,93,0.6
Kevin Knox,11:15,.375,.375,.750,.000,0.0,8.1,4.2,0.0,0.0,0.0,0.0,15.4,78,110,-10.7
Immanuel Quickley,10:45,.425,.300,.800,.400,0.0,25.3,13.3,13.3,0.0,0.0,14.5,27.7,84,105,-11.5
