Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
RJ Barrett,39:49,8,19,.421,2,5,.400,6,7,.857,0,4,4,2,2,0,3,5,24,+27
Julius Randle,35:09,7,13,.538,0,2,.000,2,3,.667,0,8,8,6,1,1,2,2,16,+14
Alec Burks,23:51,3,5,.600,1,2,.500,0,0,,0,6,6,1,0,0,0,1,7,+4
Elfrid Payton,23:08,1,6,.167,0,1,.000,0,0,,0,1,1,3,1,0,2,1,2,+2
Mitchell Robinson,22:16,2,3,.667,0,0,,2,2,1.000,2,2,4,1,1,3,2,5,6,-6
Nerlens Noel,25:05,1,2,.500,0,0,,2,2,1.000,2,4,6,0,0,1,1,4,4,+24
Immanuel Quickley,24:52,9,17,.529,5,8,.625,2,2,1.000,3,2,5,3,0,0,2,4,25,+19
Austin Rivers,24:09,6,11,.545,1,6,.167,0,0,,1,2,3,3,3,0,1,1,13,+17
Obi Toppin,12:51,2,4,.500,1,3,.333,0,0,,0,3,3,1,0,1,0,0,5,+7
Kevin Knox,8:11,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-6
Taj Gibson,0:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+3
