Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
RJ Barrett,39:08,.520,.472,.222,.278,5.7,9.9,7.7,16.5,0.0,4.4,9.0,24.2,116,116,-2.4
Julius Randle,37:47,.706,.688,.417,.208,0.0,20.6,9.5,8.3,0.0,0.0,10.3,33.0,130,118,3.8
Reggie Bullock,30:50,.672,.643,1.000,.143,0.0,8.4,3.9,11.0,1.6,2.8,0.0,10.3,155,114,4.1
Elfrid Payton,20:49,.394,.375,.000,.250,10.7,18.7,14.4,23.0,7.0,0.0,10.1,20.2,108,103,1.3
Nerlens Noel,17:18,.750,.750,.000,.000,6.5,30.0,17.3,21.5,2.8,9.9,0.0,9.9,177,102,10.0
Mitchell Robinson,30:42,.810,.778,.000,.222,25.5,21.1,23.5,8.7,0.0,8.4,16.8,16.5,156,111,5.3
Alec Burks,29:09,.683,.583,.167,.500,0.0,13.4,6.2,13.3,1.7,0.0,6.4,22.9,143,115,1.9
Immanuel Quickley,12:03,.751,.688,.750,.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,156,121,6.8
Frank Ntilikina,10:08,,,,,0.0,38.4,17.8,10.1,0.0,0.0,100.0,4.2,51,115,-8.7
Obi Toppin,8:20,.000,.000,.500,.000,0.0,15.6,7.2,0.0,0.0,0.0,0.0,10.2,0,118,-21.2
Kevin Knox,1:53,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,121,-6.6
Jared Harper,1:53,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,121,-7.4
