Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
RJ Barrett,39:08,8,18,.444,1,4,.250,4,5,.800,2,3,5,5,0,2,2,2,21,+16
Julius Randle,37:47,13,24,.542,7,10,.700,4,5,.800,0,6,6,2,0,0,3,5,37,+21
Reggie Bullock,30:50,3,7,.429,3,7,.429,1,1,1.000,0,2,2,3,1,1,0,1,10,+17
Elfrid Payton,20:49,3,8,.375,0,0,,1,2,.500,2,3,5,4,3,0,1,2,7,+12
Nerlens Noel,17:18,3,4,.750,0,0,,0,0,,1,4,5,3,1,2,0,5,6,+9
Mitchell Robinson,30:42,7,9,.778,0,0,,2,2,1.000,7,5,12,2,0,3,2,3,16,+9
Alec Burks,29:09,6,12,.500,2,2,1.000,6,6,1.000,0,3,3,3,1,0,1,4,20,+11
Immanuel Quickley,12:03,4,8,.500,3,6,.500,3,3,1.000,0,0,0,0,0,0,0,3,14,-2
Frank Ntilikina,10:08,0,0,,0,0,,0,0,,0,3,3,1,0,0,1,1,0,0
Obi Toppin,8:20,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,2,0,-3
Kevin Knox,1:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Jared Harper,1:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
