Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Julius Randle,38:14,.556,.500,.348,.217,0.0,15.1,8.3,22.4,1.3,0.0,3.8,31.4,121,113,5.7
RJ Barrett,34:00,.512,.458,.083,.500,6.9,14.1,10.9,11.2,0.0,0.0,0.0,19.7,123,116,-0.9
Reggie Bullock,33:33,.630,.556,.667,.333,3.5,11.4,7.9,3.6,1.5,0.0,8.8,15.4,125,114,-1.5
Taj Gibson,33:25,.600,.600,.200,.000,17.5,20.1,18.9,7.1,0.0,16.0,16.7,8.2,142,105,3.5
Elfrid Payton,17:55,.563,.500,.125,.250,0.0,26.8,14.7,15.6,5.7,0.0,18.4,27.8,101,97,0.2
Derrick Rose,26:37,.833,.833,.333,.000,0.0,7.2,4.0,14.3,1.9,0.0,6.3,27.5,153,115,13.6
Immanuel Quickley,16:09,.667,.667,.500,.000,0.0,5.9,3.3,0.0,0.0,0.0,25.0,22.7,93,120,-9.6
Alec Burks,15:45,.571,.643,.143,.286,0.0,12.2,6.7,18.6,0.0,0.0,0.0,22.9,123,117,1.5
Norvel Pelle,14:35,1.000,1.000,.000,.000,0.0,13.2,7.2,7.9,0.0,21.9,0.0,3.1,208,105,6.6
Obi Toppin,9:46,.333,.333,.333,.000,0.0,29.5,16.2,0.0,5.2,0.0,0.0,14.1,71,96,-7.0
