Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Aleksej Pokusevski,31:30,.489,.474,.316,.053,6.1,7.3,6.6,0.0,0.0,4.5,17.1,29.0,87,131,-10.6
Théo Maledon,26:16,.493,.417,.167,.417,0.0,26.1,11.9,5.7,0.0,0.0,17.4,25.6,88,129,-11.8
Sviatoslav Mykhailiuk,26:11,.672,.550,.400,.600,0.0,13.1,6.0,11.5,7.0,0.0,7.3,20.3,136,116,8.9
Moses Brown,25:59,.628,.571,.000,.571,7.4,13.2,10.0,0.0,0.0,5.5,10.2,14.7,123,128,-5.5
Kenrich Williams,21:38,.276,.200,.300,.200,13.3,5.3,9.6,12.1,2.1,0.0,8.4,21.4,77,129,-13.5
Ty Jerome,27:41,.417,.417,.250,.000,0.0,12.4,5.7,26.8,0.0,0.0,7.7,18.3,96,132,-7.6
Justin Robinson,23:56,.541,.500,.714,.429,0.0,4.8,2.2,11.5,1.9,0.0,0.0,13.6,124,130,-7.0
Jaylen Hoard,22:08,.460,.400,.100,.200,17.3,10.3,14.1,0.0,2.1,3.2,21.6,24.5,87,126,-6.5
Tony Bradley,22:01,.571,.571,.000,.286,8.7,36.3,21.3,13.5,0.0,3.3,11.3,15.7,117,124,-1.9
Darius Miller,12:40,.500,.500,1.000,.000,0.0,9.0,4.1,30.6,10.8,0.0,0.0,9.2,134,109,12.0
