Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luguentz Dort,33:01,5,12,.417,4,8,.500,3,4,.750,0,3,3,1,0,0,3,4,17,-6
Moses Brown,32:15,2,5,.400,0,0,,1,2,.500,4,14,18,1,2,0,3,4,5,-7
Théo Maledon,31:51,5,12,.417,2,6,.333,4,4,1.000,0,1,1,4,0,2,4,3,16,-8
Darius Bazley,31:39,6,15,.400,0,6,.000,3,5,.600,2,4,6,3,0,0,5,2,15,-12
Aleksej Pokusevski,27:35,3,16,.188,0,4,.000,2,2,1.000,3,6,9,1,1,0,0,2,8,+3
Ty Jerome,18:56,2,3,.667,1,2,.500,0,0,,0,2,2,4,0,1,3,1,5,-11
Sviatoslav Mykhailiuk,18:04,4,7,.571,2,5,.400,2,2,1.000,0,1,1,0,0,0,0,0,12,-8
Isaiah Roby,15:45,5,9,.556,2,3,.667,1,1,1.000,2,7,9,2,3,0,2,2,13,-7
Gabriel Deck,14:35,1,5,.200,0,3,.000,0,0,,1,1,2,2,0,0,1,2,2,+1
Charlie Brown,9:20,1,5,.200,0,2,.000,0,0,,0,2,2,0,0,1,0,0,2,-1
Josh Hall,6:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-14
