Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Darius Bazley,30:08,.508,.500,.308,.308,3.3,16.9,10.1,5.4,0.0,0.0,11.9,23.6,93,136,-10.0
Shai Gilgeous-Alexander,28:58,.598,.600,.333,.133,0.0,7.1,3.5,32.2,1.6,6.6,23.9,30.5,95,130,-1.8
Théo Maledon,28:23,.628,.500,.571,.571,0.0,3.6,1.8,5.0,3.2,0.0,18.6,16.1,106,131,-7.2
Al Horford,25:18,.462,.462,.231,.000,7.9,20.2,14.0,19.3,3.6,3.8,7.1,23.4,100,123,0.0
Luguentz Dort,23:51,.394,.313,.500,.250,0.0,12.8,6.4,5.8,0.0,0.0,10.1,17.5,78,137,-13.2
Kenrich Williams,20:17,.500,.500,.429,.000,4.9,15.1,10.0,14.8,0.0,0.0,0.0,14.6,116,137,-5.4
Aleksej Pokusevski,20:04,.250,.250,.500,.000,0.0,15.3,7.6,6.5,0.0,4.8,20.0,10.6,51,133,-12.2
Hamidou Diallo,15:22,.901,.929,.286,.429,0.0,13.3,6.6,61.7,3.0,0.0,0.0,22.9,187,130,18.6
Mike Muscala,12:49,.600,.600,.400,.000,23.4,15.9,19.7,0.0,0.0,0.0,16.7,19.8,114,137,-4.2
Isaiah Roby,11:42,.258,.000,.000,.667,0.0,26.2,13.0,0.0,7.9,16.4,20.5,17.7,45,102,-4.3
Justin Jackson,10:31,.727,.667,.833,.333,0.0,19.4,9.6,18.0,0.0,0.0,0.0,27.7,147,136,8.5
Josh Hall,7:34,,,,,0.0,40.5,20.0,32.5,0.0,0.0,100.0,5.6,76,130,-6.8
Moses Brown,5:03,.000,.000,.000,.000,19.8,60.7,40.0,0.0,0.0,38.0,50.0,16.8,34,97,-12.9
