Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Théo Maledon,33:49,4,7,.571,4,5,.800,2,2,1.000,0,5,5,2,2,0,3,3,14,-1
Shai Gilgeous-Alexander,32:38,6,14,.429,2,5,.400,8,8,1.000,1,2,3,6,0,0,1,2,22,-2
Darius Bazley,31:54,7,14,.500,4,8,.500,0,0,,0,7,7,2,0,0,2,0,18,-10
Luguentz Dort,28:55,2,10,.200,1,7,.143,6,7,.857,1,1,2,1,0,1,2,3,11,-15
Isaiah Roby,23:23,4,9,.444,1,3,.333,1,2,.500,2,6,8,4,2,0,2,6,10,-6
Mike Muscala,26:09,7,11,.636,5,9,.556,2,2,1.000,0,3,3,0,0,0,1,5,21,-4
Kenrich Williams,24:20,1,1,1.000,0,0,,0,0,,1,4,5,3,1,0,0,2,2,+6
Hamidou Diallo,19:50,2,9,.222,0,1,.000,4,5,.800,0,3,3,4,0,0,2,2,8,-6
Justin Jackson,9:57,1,2,.500,1,2,.500,1,2,.500,1,1,2,1,0,1,4,1,4,-3
Darius Miller,9:05,1,1,1.000,1,1,1.000,0,0,,0,1,1,2,0,1,1,1,3,-4
