Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,34:46,5,17,.294,2,9,.222,4,5,.800,0,4,4,7,0,1,1,3,16,+1
Darius Bazley,32:24,7,10,.700,2,4,.500,3,3,1.000,0,12,12,2,0,1,0,0,19,+1
Luguentz Dort,30:11,2,7,.286,1,4,.250,4,4,1.000,0,4,4,0,1,1,1,4,9,+4
Al Horford,27:46,5,12,.417,2,7,.286,0,0,,1,6,7,4,0,1,1,2,12,-2
George Hill,27:33,7,12,.583,3,7,.429,1,1,1.000,0,1,1,5,2,0,1,0,18,-2
Mike Muscala,20:14,2,6,.333,1,4,.250,3,3,1.000,0,6,6,0,0,1,2,1,8,+11
Théo Maledon,19:21,5,7,.714,1,3,.333,1,1,1.000,1,2,3,4,1,0,1,2,12,+8
Hamidou Diallo,18:55,5,9,.556,1,1,1.000,1,2,.500,2,6,8,0,0,0,1,4,12,+8
Kenrich Williams,14:35,0,5,.000,0,1,.000,2,2,1.000,2,3,5,0,0,0,0,1,2,+4
Aleksej Pokusevski,14:15,0,1,.000,0,1,.000,0,0,,0,2,2,0,1,0,2,0,0,+12
