Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Shai Gilgeous-Alexander,36:30,.535,.471,.412,.353,0.0,15.3,7.3,38.4,6.4,0.0,9.2,26.3,113,99,6.4
Darius Bazley,33:57,.489,.475,.550,.050,3.0,36.2,18.9,14.8,1.4,0.0,12.8,30.7,87,105,-4.7
Luguentz Dort,30:51,.922,.875,.500,.500,0.0,3.6,1.7,4.4,0.0,0.0,0.0,7.0,183,114,-3.5
George Hill,27:12,.658,.611,.778,.222,3.8,8.2,5.9,21.4,3.4,0.0,9.2,17.8,129,106,4.0
Al Horford,27:12,.364,.364,.636,.000,3.8,24.6,13.7,5.1,0.0,7.9,8.3,19.6,72,104,-7.6
Hamidou Diallo,20:48,.461,.500,.125,.500,0.0,5.4,2.6,22.5,2.2,3.4,9.3,23.0,92,107,-1.7
Mike Muscala,20:48,.953,.944,.778,.111,0.0,16.1,7.7,8.8,0.0,3.4,0.0,20.2,165,109,16.8
Théo Maledon,19:12,.750,.750,.500,.000,0.0,11.6,5.6,28.6,0.0,0.0,42.9,16.2,97,113,-7.1
Kenrich Williams,12:45,.333,.333,.333,.000,0.0,17.5,8.4,20.8,3.7,0.0,25.0,13.9,74,104,-5.9
Isaiah Roby,10:43,1.250,1.250,.500,.000,9.5,10.4,10.0,0.0,0.0,0.0,50.0,16.6,95,113,-5.7
