Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Shai Gilgeous-Alexander,30:52,.492,.472,.222,.167,0.0,14.1,5.3,28.9,0.0,0.0,9.4,30.4,97,123,-2.5
Aleksej Pokusevski,27:08,.182,.182,.273,.000,6.4,21.4,12.1,11.6,0.0,0.0,8.3,19.5,54,122,-13.8
Al Horford,24:32,.384,.308,.462,.231,3.6,29.6,13.3,13.9,4.0,3.6,0.0,25.7,92,109,3.8
Isaiah Roby,24:23,.680,.600,.200,.400,10.7,29.8,17.9,7.0,0.0,0.0,25.4,14.2,115,121,-5.9
Luguentz Dort,23:38,.450,.375,.500,.250,0.0,6.2,2.3,0.0,0.0,3.8,10.1,18.4,84,121,-8.6
Ty Jerome,24:22,.900,.900,.800,.000,0.0,6.0,2.2,17.8,2.0,0.0,0.0,18.1,172,119,16.7
Kenrich Williams,23:37,.425,.400,.200,.400,7.4,24.6,13.9,15.7,2.1,0.0,7.8,23.8,93,117,-3.4
Moses Brown,23:28,.363,.333,.000,.333,7.4,6.2,7.0,0.0,2.1,3.8,0.0,12.9,90,116,-8.2
Théo Maledon,21:58,.500,.500,.400,.000,4.0,6.6,5.0,43.3,0.0,0.0,9.1,22.0,110,124,2.0
Sviatoslav Mykhailiuk,16:02,.000,.000,1.000,.000,0.0,18.1,6.8,0.0,0.0,0.0,33.3,8.2,0,123,-16.9
