Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Darius Bazley,31:59,.546,.472,.389,.500,7.9,24.5,15.6,18.4,0.0,0.0,15.4,33.0,104,105,1.6
Théo Maledon,29:33,.276,.250,.500,.200,0.0,3.3,1.5,5.1,0.0,6.2,15.5,17.7,55,106,-12.8
Moses Brown,29:32,.375,.375,.000,.000,20.0,33.2,26.1,0.0,3.3,0.0,0.0,11.0,112,95,-3.9
Luguentz Dort,28:37,.282,.250,.500,.250,5.9,6.8,6.3,22.4,0.0,0.0,5.3,26.7,76,109,-11.5
Isaiah Roby,26:48,.338,.250,.500,.250,6.3,11.0,8.4,11.4,1.8,3.4,10.1,15.0,85,102,-7.3
Josh Hall,22:07,.500,.500,.286,.000,7.6,22.1,14.3,0.0,2.2,0.0,12.5,14.7,97,100,-4.1
Ty Jerome,19:18,.444,.444,.444,.000,0.0,5.1,2.3,36.1,0.0,0.0,0.0,19.0,113,110,-2.6
Jaylen Hoard,18:24,.654,.667,.000,.333,4.6,31.9,17.2,21.2,0.0,5.0,0.0,15.2,144,99,6.3
Sviatoslav Mykhailiuk,17:41,.389,.389,.556,.000,0.0,5.5,2.6,20.2,0.0,0.0,0.0,20.7,95,109,-8.8
Gabriel Deck,16:01,.830,.786,.143,.857,0.0,18.3,8.5,44.9,3.0,0.0,0.0,24.5,178,99,23.9
