Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Théo Maledon,29:46,5,12,.417,1,6,.167,4,6,.667,1,3,4,8,2,0,1,1,15,-10
Darius Bazley,28:36,7,19,.368,4,13,.308,4,5,.800,0,3,3,2,1,0,1,0,22,-18
Moses Brown,27:33,1,3,.333,0,0,,0,0,,2,6,8,0,1,1,1,4,2,-18
Isaiah Roby,23:50,3,6,.500,0,2,.000,0,0,,1,4,5,0,1,0,3,4,6,-10
Luguentz Dort,21:45,3,13,.231,1,6,.167,0,0,,1,1,2,3,1,0,1,4,7,-16
Josh Hall,24:10,3,8,.375,0,3,.000,2,3,.667,0,5,5,0,1,0,1,1,8,-11
Gabriel Deck,23:38,2,7,.286,0,2,.000,2,2,1.000,0,2,2,4,1,0,0,1,6,-4
Ty Jerome,22:21,8,14,.571,3,6,.500,4,4,1.000,0,4,4,3,1,0,0,2,23,-9
Tony Bradley,20:27,4,4,1.000,0,0,,0,0,,0,5,5,0,0,0,0,0,8,-3
Charlie Brown,15:46,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,2,0,-5
Jaylen Hoard,2:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
