Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Wendell Carter,31:14,.522,.500,.000,.313,16.7,26.9,21.4,19.4,3.3,3.1,5.2,28.2,123,110,1.5
James Ennis,30:29,.884,.875,.500,.083,3.4,11.8,7.3,15.0,0.0,3.2,0.0,18.7,178,121,9.0
Gary Harris,30:13,.689,.650,.400,.200,3.5,4.0,3.7,26.4,0.0,3.2,15.5,19.5,132,123,1.0
Chuma Okeke,29:22,.450,.450,.300,.000,3.6,12.3,7.6,8.7,1.8,10.0,0.0,15.6,109,111,-1.4
Michael Carter-Williams,27:05,.545,.542,.250,.333,3.9,31.0,16.5,15.9,1.9,3.6,12.7,26.7,106,113,-2.6
Terrence Ross,31:27,.384,.346,.462,.231,3.3,7.6,5.3,16.1,3.3,0.0,0.0,20.9,103,117,-7.3
Cole Anthony,20:55,.714,.714,.143,.000,0.0,17.2,8.0,35.3,0.0,0.0,12.5,17.5,139,123,0.3
R.J. Hampton,17:47,.205,.000,.750,.500,0.0,6.7,3.1,0.0,2.9,5.5,0.0,12.6,52,113,-13.9
Donta Hall,16:46,.810,.667,.000,1.000,18.7,42.9,30.0,15.0,3.1,11.7,18.8,14.5,158,101,12.2
Dwayne Bacon,4:41,1.250,1.250,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,250,126,20.6
