Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gary Harris,30:35,3,11,.273,1,3,.333,1,1,1.000,0,3,3,4,3,0,5,4,8,-8
Cole Anthony,29:03,7,14,.500,1,3,.333,0,0,,1,5,6,2,0,0,3,4,15,-4
Moritz Wagner,27:44,0,7,.000,0,3,.000,5,6,.833,1,6,7,1,0,2,0,3,5,-12
Wendell Carter,22:02,3,11,.273,0,2,.000,2,3,.667,4,4,8,2,0,0,2,1,8,-17
James Ennis,16:09,1,3,.333,0,2,.000,1,2,.500,0,0,0,1,0,0,0,2,3,-4
Dwayne Bacon,32:12,2,12,.167,0,1,.000,1,1,1.000,1,2,3,1,1,0,1,0,5,-10
Mohamed Bamba,23:14,6,9,.667,2,3,.667,1,2,.500,2,9,11,1,0,4,3,2,15,-2
R.J. Hampton,22:51,3,8,.375,1,4,.250,4,4,1.000,1,3,4,1,0,0,5,2,11,-8
Chasson Randle,18:57,1,8,.125,1,5,.200,0,0,,0,3,3,2,0,0,1,0,3,-13
Donta Hall,17:13,1,3,.333,0,0,,0,1,.000,2,9,11,1,0,0,0,1,2,-7
