Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Dwayne Bacon,27:31,.506,.500,.333,.222,0.0,11.6,5.1,6.7,0.0,0.0,16.8,18.0,84,116,-6.7
Markelle Fultz,24:12,.393,.364,.091,.091,0.0,8.8,3.9,31.7,1.9,3.4,14.9,23.1,78,109,-5.0
Nikola Vučević,23:47,.633,.633,.400,.000,7.1,35.9,19.8,35.9,0.0,0.0,0.0,26.3,131,112,14.0
Aaron Gordon,20:49,.294,.125,.500,.625,0.0,15.4,6.8,7.5,0.0,8.0,16.4,24.4,56,108,-9.8
Evan Fournier,7:48,.436,.333,.667,.333,0.0,13.7,6.0,45.8,0.0,0.0,0.0,18.4,109,116,-1.3
Cole Anthony,30:20,.396,.306,.222,.278,2.8,21.1,10.9,12.6,0.0,0.0,9.0,30.5,80,114,-7.2
Michael Carter-Williams,26:51,.392,.273,.182,.364,6.3,15.9,10.5,6.5,0.0,3.1,0.0,19.8,93,113,-3.8
Khem Birch,24:13,.381,.286,.000,.286,13.9,13.2,13.6,6.8,1.9,3.4,20.2,17.0,83,108,-6.2
Karim Mané,18:45,.000,.000,.000,.000,0.0,22.8,10.0,0.0,0.0,0.0,0.0,6.7,0,114,-13.7
Chuma Okeke,17:14,.750,.750,1.000,.000,0.0,6.2,2.7,10.2,0.0,0.0,20.0,12.1,113,117,-1.3
Gary Clark,9:57,.615,.500,.500,.500,0.0,21.4,9.5,0.0,0.0,0.0,0.0,10.2,128,114,-2.8
Jordan Bone,8:33,.500,.500,.250,.000,9.8,12.5,11.0,25.8,0.0,0.0,0.0,19.5,115,116,1.9
