Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Nikola Vučević,37:18,.680,.655,.345,.207,9.7,42.0,27.5,25.6,0.0,1.9,3.1,37.4,139,113,14.2
Cole Anthony,32:27,.697,.700,.300,.500,0.0,12.1,6.6,40.2,2.9,0.0,24.7,21.3,120,115,5.4
Evan Fournier,29:18,.639,.577,.538,.462,0.0,10.0,5.5,20.4,0.0,0.0,16.1,27.2,116,122,-3.1
James Ennis,23:22,.822,.600,.000,1.600,0.0,12.6,6.9,0.0,2.0,0.0,0.0,15.6,178,117,2.7
Gary Clark,16:38,.000,.000,1.000,.000,7.2,0.0,3.2,0.0,0.0,0.0,50.0,5.1,40,124,-12.3
Terrence Ross,30:15,.700,.700,.600,.000,0.0,13.0,7.1,8.5,1.6,0.0,44.4,12.7,76,118,-7.7
Dwayne Bacon,18:55,.486,.400,.200,1.000,0.0,15.5,8.6,0.0,0.0,0.0,0.0,16.3,105,121,-9.9
Khem Birch,18:32,.486,.400,.000,1.000,25.9,10.6,17.5,21.1,2.6,3.9,0.0,16.6,140,113,3.7
Chuma Okeke,17:42,.500,.500,.250,.000,13.6,16.6,15.2,7.4,0.0,0.0,0.0,9.7,133,121,-2.7
Frank Mason,15:33,.410,.375,.250,.500,0.0,6.3,3.5,31.7,0.0,0.0,29.1,18.9,86,123,-14.7
