Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nikola Vučević,37:38,8,24,.333,0,7,.000,0,0,,2,14,16,5,1,0,2,2,16,+2
Evan Fournier,31:25,8,15,.533,3,5,.600,0,0,,0,3,3,3,1,0,2,2,19,+3
Michael Carter-Williams,29:30,2,8,.250,0,1,.000,2,3,.667,0,2,2,7,1,0,2,2,6,+11
Gary Clark,20:17,3,8,.375,3,7,.429,0,0,,1,4,5,2,2,0,0,0,9,+4
Dwayne Bacon,18:22,6,8,.750,3,3,1.000,0,0,,1,2,3,0,1,1,0,1,15,-4
Terrence Ross,29:38,10,16,.625,5,6,.833,5,5,1.000,0,6,6,4,2,2,4,4,30,+22
Chasson Randle,18:30,1,4,.250,0,2,.000,0,0,,0,2,2,5,0,0,1,4,2,+7
Chuma Okeke,16:35,1,3,.333,1,2,.500,0,0,,0,1,1,0,2,0,0,0,3,+15
Khem Birch,16:12,0,1,.000,0,0,,0,2,.000,4,0,4,0,0,2,0,0,0,+6
Al-Farouq Aminu,11:31,1,1,1.000,1,1,1.000,0,0,,1,2,3,1,0,0,1,0,3,+8
Mohamed Bamba,10:22,2,4,.500,0,0,,0,0,,1,4,5,0,0,2,0,0,4,+16
