Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Nikola Vučević,32:58,.689,.667,.111,.111,5.8,21.7,13.5,12.1,0.0,0.0,5.0,24.5,139,125,6.0
Cole Anthony,30:29,.354,.278,.222,.222,0.0,10.1,4.9,25.6,0.0,5.3,16.8,15.9,89,126,-7.3
Evan Fournier,30:10,.675,.567,.533,.533,0.0,10.2,4.9,22.1,0.0,8.1,5.1,26.3,145,125,10.9
Aaron Gordon,26:25,.167,.167,.333,.000,3.6,15.5,9.4,23.8,0.0,0.0,30.8,20.0,50,127,-19.5
James Ennis,19:15,.820,.875,.250,.500,0.0,5.3,2.6,0.0,2.5,0.0,17.0,12.4,124,124,-6.2
Terrence Ross,26:58,.500,.500,.188,.000,0.0,11.4,5.5,6.5,5.4,6.0,11.1,27.2,94,114,2.5
Gary Clark,26:26,.167,.167,.833,.000,10.9,3.9,7.5,19.0,1.9,0.0,0.0,9.2,95,128,-6.1
Khem Birch,25:55,.667,.667,.000,.000,37.0,15.8,26.7,17.0,0.0,3.1,25.0,12.6,137,125,-0.8
Dwayne Bacon,17:50,.436,.333,.083,.333,5.4,17.2,11.1,0.0,8.2,0.0,0.0,31.4,106,107,-3.6
Jordan Bone,1:47,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0,134,-32.5
Mohamed Bamba,1:47,,,,,0.0,57.3,27.7,0.0,0.0,0.0,100.0,22.8,0,111,-33.7
