Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nikola Vučević,35:16,5,18,.278,2,6,.333,3,3,1.000,0,14,14,4,2,1,3,1,15,-20
Cole Anthony,32:22,5,10,.500,1,3,.333,5,6,.833,1,4,5,6,0,0,2,3,16,-10
Evan Fournier,28:22,2,12,.167,1,6,.167,6,6,1.000,1,1,2,3,1,1,1,1,11,-20
Aaron Gordon,22:45,4,8,.500,2,5,.400,4,6,.667,1,4,5,3,1,0,1,2,14,-8
James Ennis,19:26,3,5,.600,1,2,.500,1,2,.500,0,4,4,0,0,0,0,3,8,-2
Terrence Ross,28:20,1,5,.200,0,3,.000,2,2,1.000,0,0,0,2,1,0,0,3,4,-22
Khem Birch,25:39,3,7,.429,1,3,.333,1,2,.500,3,3,6,0,1,2,2,2,8,+4
Gary Clark,21:46,1,2,.500,1,2,.500,0,0,,0,3,3,1,0,0,0,1,3,-4
Dwayne Bacon,19:38,5,10,.500,2,3,.667,1,1,1.000,0,1,1,1,2,0,1,0,13,+7
Mohamed Bamba,3:13,3,3,1.000,1,1,1.000,0,0,,0,1,1,0,0,1,0,1,7,+5
Jordan Bone,3:13,1,2,.500,1,2,.500,0,0,,0,1,1,2,0,0,0,1,3,+5
