Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Evan Fournier,36:14,10,18,.556,5,12,.417,6,8,.750,0,1,1,6,1,0,1,3,31,0
Aaron Gordon,35:27,6,13,.462,1,5,.200,0,0,,1,2,3,6,1,1,3,1,13,-2
Nikola Vučević,33:59,8,25,.320,2,8,.250,0,0,,1,6,7,2,0,1,1,1,18,-8
Michael Carter-Williams,32:35,3,9,.333,1,4,.250,0,1,.000,1,6,7,3,0,0,2,4,7,-3
Al-Farouq Aminu,29:18,8,11,.727,0,0,,1,1,1.000,3,7,10,6,2,1,3,1,17,+11
James Ennis,19:31,1,4,.250,1,3,.333,0,0,,1,2,3,1,2,0,2,1,3,-11
Dwayne Bacon,16:26,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-16
Chuma Okeke,14:34,0,1,.000,0,1,.000,0,0,,0,2,2,1,1,0,1,0,0,-20
Khem Birch,14:01,2,3,.667,0,0,,3,4,.750,2,0,2,1,1,0,0,0,7,-3
Gary Clark,7:55,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,1,0,0,3,-3
