Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Aaron Gordon,33:53,.388,.333,.333,.267,3.1,17.0,10.3,12.2,0.0,5.0,10.7,24.3,84,113,-6.3
Nikola Vučević,33:52,.664,.658,.263,.158,9.2,31.2,20.7,21.5,1.5,2.5,4.7,27.6,138,107,14.4
Evan Fournier,32:48,.639,.625,.563,.063,0.0,0.0,0.0,9.7,0.0,2.6,10.8,24.7,116,120,0.4
Al-Farouq Aminu,27:38,.375,.375,.375,.000,3.8,31.3,18.1,4.7,0.0,3.0,27.3,17.5,65,110,-8.0
Michael Carter-Williams,23:14,.383,.350,.400,.100,4.5,8.3,6.5,17.3,4.2,0.0,8.7,21.6,91,109,-4.4
James Ennis,27:29,.363,.250,1.000,.333,7.6,17.5,12.7,8.7,0.0,0.0,12.7,12.6,94,117,-6.3
Dwayne Bacon,23:42,.628,.571,.143,.571,0.0,12.2,6.3,11.9,0.0,0.0,10.2,18.1,122,118,-1.8
Chuma Okeke,20:22,1.235,1.333,.667,.333,0.0,14.1,7.4,0.0,0.0,0.0,0.0,14.8,241,118,18.8
Khem Birch,14:08,.532,.000,.000,2.000,7.4,6.8,7.1,8.1,0.0,0.0,0.0,5.8,152,120,-1.0
Chasson Randle,2:54,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,99,122,-5.9
