Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Seth Curry,33:51,.568,.545,.455,.091,0.0,3.5,1.8,20.9,0.0,0.0,0.0,14.8,131,126,-1.1
Ben Simmons,33:16,.601,.556,.000,.667,3.8,25.3,14.8,25.6,3.0,0.0,7.9,16.7,133,115,3.2
Tobias Harris,32:37,.853,.824,.176,.235,0.0,18.4,9.4,26.9,1.5,3.5,9.6,28.0,152,117,13.9
Joel Embiid,28:35,.559,.429,.286,1.214,17.7,16.8,17.2,10.9,0.0,12.0,15.7,39.2,109,115,-3.0
Danny Green,27:15,.750,.750,1.000,.000,0.0,26.4,13.5,14.8,0.0,4.2,0.0,9.7,157,119,4.5
Shake Milton,20:42,.543,.500,.333,.167,6.1,5.8,5.9,23.7,4.8,0.0,7.2,29.5,115,114,2.4
Dwight Howard,19:14,.858,1.000,.000,7.000,6.6,31.2,19.2,0.0,2.6,5.9,19.7,11.6,146,110,-1.5
Matisse Thybulle,16:40,.000,.000,.000,.000,0.0,14.4,7.4,7.0,3.0,6.9,50.0,10.5,17,112,-8.8
Mike Scott,14:38,.500,.500,.667,.000,8.6,24.6,16.8,0.0,0.0,0.0,0.0,9.0,118,122,-5.4
Furkan Korkmaz,13:12,.500,.500,.667,.000,0.0,0.0,0.0,21.6,0.0,0.0,14.3,23.3,97,126,-5.8
