Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ben Simmons,26:40,8,10,.800,0,0,,2,2,1.000,4,2,6,5,1,1,0,2,18,+9
Joel Embiid,24:49,6,14,.429,1,2,.500,5,5,1.000,2,4,6,1,1,1,3,3,18,+8
Tobias Harris,23:44,7,13,.538,2,4,.500,2,2,1.000,1,2,3,1,0,0,0,0,18,+7
Seth Curry,23:44,1,7,.143,1,4,.250,4,4,1.000,0,6,6,3,0,0,0,0,7,+7
Danny Green,20:48,2,8,.250,1,5,.200,0,0,,1,3,4,0,1,1,0,4,5,+4
Matisse Thybulle,22:57,5,8,.625,0,2,.000,0,0,,0,1,1,5,4,0,0,5,10,+19
Shake Milton,21:56,5,11,.455,2,3,.667,1,1,1.000,0,1,1,4,0,0,1,3,13,+19
George Hill,19:43,0,6,.000,0,1,.000,4,4,1.000,3,2,5,2,0,0,1,0,4,+18
Furkan Korkmaz,17:27,4,9,.444,3,7,.429,0,0,,2,3,5,4,0,0,0,1,11,+12
Dwight Howard,17:21,8,11,.727,0,0,,3,6,.500,5,6,11,1,0,2,1,2,19,+16
Tyrese Maxey,5:54,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-2
Mike Scott,5:21,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Paul Reed,3:23,1,1,1.000,0,0,,0,0,,0,1,1,0,1,1,1,1,2,-2
Isaiah Joe,3:23,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,1,0,1,-2
Anthony Tolliver,2:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
