Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Joel Embiid,37:53,.603,.441,.353,.941,11.0,27.6,20.1,21.9,2.4,5.6,17.2,31.6,112,84,9.5
Tobias Harris,37:52,.623,.600,.250,.100,5.5,20.7,13.8,21.1,2.4,5.6,8.7,24.9,116,86,10.7
Ben Simmons,36:46,.379,.273,.000,.727,0.0,30.9,16.8,32.5,1.3,2.9,17.1,19.6,81,87,-1.0
Seth Curry,32:38,.666,.591,.545,.364,3.2,13.4,8.7,23.9,1.4,3.3,19.0,19.9,114,93,3.7
Danny Green,28:34,.500,.500,.571,.000,3.7,3.1,3.3,0.0,3.2,7.5,22.2,13.0,77,90,0.3
Shake Milton,25:40,.322,.250,.600,.200,0.0,3.4,1.9,13.2,3.6,0.0,0.0,17.5,78,93,-4.8
Matisse Thybulle,12:21,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,104,-11.7
Mike Scott,10:08,.436,.333,.667,.333,10.3,8.6,9.4,0.0,0.0,10.5,0.0,14.0,105,94,-3.0
Dwight Howard,10:07,,,,,0.0,25.9,14.1,0.0,0.0,10.5,100.0,12.2,0,87,-18.6
Tyrese Maxey,8:01,.000,.000,.667,.000,0.0,0.0,0.0,18.7,0.0,0.0,0.0,15.4,18,104,-15.9
