Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Joel Embiid,37:53,7,17,.412,1,6,.167,14,16,.875,4,12,16,4,2,2,5,1,29,+15
Tobias Harris,37:52,11,20,.550,2,5,.400,2,2,1.000,2,9,11,3,2,2,2,1,26,+21
Ben Simmons,36:46,3,11,.273,0,0,,5,8,.625,0,13,13,7,1,1,3,1,11,+10
Seth Curry,32:38,5,11,.455,3,6,.500,4,4,1.000,1,5,6,4,1,1,3,4,17,+1
Danny Green,28:34,3,7,.429,1,4,.250,0,0,,1,1,2,0,2,2,2,1,7,+5
Shake Milton,25:40,2,10,.200,1,6,.167,2,2,1.000,0,1,1,2,2,0,0,3,7,+6
Matisse Thybulle,12:21,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-8
Mike Scott,10:08,1,3,.333,0,2,.000,1,1,1.000,1,1,2,0,0,1,0,2,3,-14
Dwight Howard,10:07,0,0,,0,0,,0,0,,0,3,3,0,0,1,3,2,0,-8
Tyrese Maxey,8:01,0,3,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,+7
