Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Ben Simmons,34:38,.735,.700,.000,.200,10.7,27.1,19.6,29.0,4.1,0.0,35.5,19.7,114,101,2.9
Tobias Harris,31:46,.639,.625,.063,.063,15.5,26.3,21.3,27.6,3.0,3.2,10.8,23.5,135,101,9.7
Joel Embiid,31:04,.608,.500,.333,.667,7.9,23.5,16.4,14.2,4.5,0.0,15.5,41.9,116,100,5.1
Seth Curry,26:41,.481,.455,.273,.091,4.6,3.9,4.2,17.6,1.8,3.8,0.0,17.3,127,109,1.9
Danny Green,26:10,.688,.688,.875,.000,0.0,12.0,6.5,0.0,0.0,0.0,11.1,13.9,123,114,-2.5
Shake Milton,26:57,.540,.500,.231,.154,9.1,7.7,8.4,14.3,0.0,0.0,0.0,20.8,134,115,-0.9
Furkan Korkmaz,22:58,.591,.591,.545,.000,5.4,9.1,7.4,5.6,0.0,0.0,0.0,19.4,135,114,-1.1
Matisse Thybulle,22:13,.347,.500,.000,1.000,0.0,14.1,7.6,9.4,6.4,9.2,0.0,5.2,100,92,5.7
Dwight Howard,13:29,.500,.500,.000,.000,0.0,15.5,8.4,0.0,0.0,0.0,33.3,9.0,65,113,-11.1
Tyrese Maxey,2:43,,,,,0.0,38.4,20.8,0.0,0.0,0.0,,0.0,0,108,-13.0
Isaiah Joe,1:21,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116,-8.1
