Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ben Simmons,38:09,15,26,.577,0,0,,12,13,.923,3,6,9,12,1,1,4,2,42,-5
Tobias Harris,37:28,14,24,.583,3,5,.600,5,5,1.000,2,8,10,2,2,0,0,3,36,-11
Seth Curry,37:05,5,10,.500,1,4,.250,0,0,,0,2,2,1,0,0,1,2,11,+1
Danny Green,28:32,1,6,.167,1,4,.250,0,0,,1,3,4,1,0,0,1,4,3,-10
Mike Scott,16:41,2,3,.667,2,2,1.000,0,0,,0,1,1,0,0,0,2,3,6,+1
Dwight Howard,26:08,5,8,.625,0,1,.000,4,6,.667,6,6,12,0,0,1,1,4,14,-7
Furkan Korkmaz,20:48,0,5,.000,0,2,.000,0,0,,0,2,2,2,1,0,2,0,0,-15
Matisse Thybulle,19:51,2,3,.667,1,2,.500,0,0,,0,1,1,1,2,2,1,2,5,-5
Tyrese Maxey,12:46,3,8,.375,0,2,.000,0,0,,0,0,0,0,0,0,0,1,6,-9
Isaiah Joe,2:32,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,+5
