Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ben Simmons,34:26,4,8,.500,0,1,.000,2,2,1.000,2,8,10,12,3,0,5,4,10,+10
Tobias Harris,29:48,7,13,.538,2,4,.500,2,2,1.000,0,4,4,2,1,0,0,2,18,+4
Tyrese Maxey,25:40,6,10,.600,1,3,.333,2,2,1.000,1,0,1,1,1,0,2,2,15,-2
Danny Green,25:28,4,8,.500,4,7,.571,0,0,,1,5,6,3,1,0,1,1,12,+10
Joel Embiid,23:36,3,8,.375,1,2,.500,2,4,.500,0,5,5,1,1,0,3,1,9,+4
Shake Milton,27:21,11,15,.733,3,4,.750,6,6,1.000,0,2,2,7,2,1,1,2,31,+24
Dwight Howard,22:02,2,2,1.000,0,0,,4,4,1.000,1,3,4,0,1,0,2,4,8,+16
Isaiah Joe,19:22,4,8,.500,4,8,.500,0,0,,0,0,0,0,0,1,0,1,12,+16
Matisse Thybulle,17:15,2,7,.286,2,6,.333,2,4,.500,0,1,1,0,4,1,2,3,8,+10
Mike Scott,5:10,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,+9
Dakota Mathias,2:34,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-5
Terrance Ferguson,2:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-5
Paul Reed,2:22,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,1,2,-3
Tony Bradley,2:22,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-3
