Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Ben Simmons,39:03,.535,.533,.000,.133,9.7,26.6,18.0,39.4,1.2,2.0,5.9,19.3,127,109,8.2
Joel Embiid,37:43,.590,.472,.167,.722,3.3,17.2,10.2,16.5,0.0,4.1,17.4,34.0,106,110,1.7
Tobias Harris,36:40,.676,.688,.250,.250,0.0,24.8,12.2,14.1,1.3,0.0,14.5,25.3,114,110,4.0
Danny Green,36:14,.636,.636,.818,.000,7.0,14.3,10.6,3.9,1.3,4.3,0.0,13.6,132,108,6.9
Seth Curry,30:32,.167,.167,.500,.000,0.0,4.2,2.1,12.0,1.6,2.5,14.3,10.2,53,110,-9.1
Shake Milton,20:35,.533,.500,.250,.125,0.0,18.9,9.3,22.1,2.4,0.0,10.6,20.5,107,109,-1.4
Matisse Thybulle,15:14,.266,.000,1.000,2.000,0.0,0.0,0.0,0.0,9.6,0.0,0.0,5.5,60,96,1.0
Furkan Korkmaz,10:37,.800,.800,.600,.000,0.0,0.0,0.0,0.0,4.6,0.0,0.0,21.0,145,107,14.0
Dwight Howard,7:27,.000,,,,17.0,52.2,34.4,0.0,6.5,10.4,0.0,10.6,41,84,-9.2
Tyrese Maxey,5:55,.400,.400,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8,78,117,-11.4
