Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Danny Green,31:28,5,9,.556,2,5,.400,0,0,,0,6,6,4,2,1,0,1,12,+24
Seth Curry,29:57,4,11,.364,1,3,.333,5,5,1.000,0,4,4,3,1,0,2,1,14,+23
Tobias Harris,23:28,7,12,.583,0,0,,0,0,,1,7,8,3,1,1,4,2,14,+19
Matisse Thybulle,21:38,4,6,.667,0,0,,0,0,,3,0,3,2,3,1,1,4,8,+22
Joel Embiid,20:24,8,11,.727,1,1,1.000,6,6,1.000,2,5,7,3,0,2,3,2,23,+22
Shake Milton,26:24,8,14,.571,1,3,.333,1,1,1.000,0,2,2,4,2,0,2,2,18,+10
Furkan Korkmaz,24:32,5,11,.455,4,5,.800,4,4,1.000,1,2,3,3,2,0,1,1,18,+7
Mike Scott,21:12,2,4,.500,2,2,1.000,0,0,,0,2,2,2,1,0,0,0,6,+12
Dwight Howard,18:25,2,4,.500,0,1,.000,2,2,1.000,3,7,10,1,0,1,2,4,6,+1
Tony Bradley,9:11,3,4,.750,0,0,,0,0,,0,3,3,1,0,0,0,1,6,+3
Tyrese Maxey,6:19,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-1
Vincent Poirier,3:31,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-6
Terrance Ferguson,3:31,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,1,0,-6
