Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tobias Harris,39:48,.814,.800,.100,.100,0.0,18.6,8.9,20.5,2.4,2.3,16.1,13.7,143,100,4.7
Ben Simmons,38:31,.380,.143,.143,1.571,5.9,16.0,10.8,39.6,2.4,2.4,37.2,21.5,89,100,-5.4
Danny Green,32:33,.941,.929,.857,.143,3.5,15.1,9.1,0.0,1.4,5.7,6.3,21.4,158,100,15.3
Mike Scott,28:05,.375,.375,1.000,.000,0.0,21.9,10.6,9.6,3.4,6.6,11.1,14.1,79,94,-1.0
Seth Curry,27:11,.707,.692,.615,.077,0.0,4.5,2.2,13.3,0.0,0.0,13.0,25.0,118,110,1.3
Matisse Thybulle,22:34,.167,.167,.833,.000,5.1,32.7,18.4,5.8,8.3,0.0,14.3,13.6,50,86,-2.9
Shake Milton,20:19,.530,.500,.600,.300,0.0,12.1,5.8,16.0,0.0,4.5,20.9,31.0,88,105,-6.0
Furkan Korkmaz,15:37,.510,.500,.400,.400,0.0,7.9,3.8,0.0,3.0,0.0,14.5,19.4,84,102,-6.1
Paul Reed,8:56,.450,.500,.500,.250,12.8,27.6,19.9,0.0,5.3,0.0,0.0,21.8,98,93,-4.6
Dwight Howard,6:22,1.000,1.000,.000,.000,35.9,0.0,18.6,0.0,0.0,29.0,40.0,34.5,109,89,4.8
Tyrese Maxey,0:04,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,111,-7.6
