Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tobias Harris,36:00,.531,.531,.313,.000,0.0,7.0,3.9,9.3,1.3,0.0,5.9,20.7,101,111,-2.8
Ben Simmons,33:32,.500,.500,.000,.000,12.4,12.6,12.5,44.4,2.9,0.0,20.0,13.1,129,105,4.0
Joel Embiid,33:01,.732,.625,.200,.600,3.2,30.6,18.3,19.8,0.0,4.5,10.6,37.5,135,100,16.3
Seth Curry,32:25,.727,.727,.727,.000,0.0,15.6,8.6,25.4,1.5,0.0,0.0,14.9,152,106,7.1
Danny Green,31:19,.400,.400,.800,.000,6.7,8.1,7.4,0.0,1.5,2.4,16.7,16.8,75,108,-7.0
George Hill,16:46,.698,.643,.429,.286,0.0,10.0,5.6,0.0,0.0,0.0,11.3,23.2,116,112,-1.8
Shake Milton,15:30,.425,.300,.800,.400,0.0,21.7,12.0,26.6,0.0,0.0,33.8,25.1,74,107,-11.3
Dwight Howard,14:59,.355,.333,.000,2.000,20.9,33.7,28.0,27.6,0.0,9.9,34.7,25.2,81,95,-6.2
Matisse Thybulle,14:28,.000,.000,1.000,.000,0.0,0.0,0.0,8.7,0.0,5.1,0.0,3.0,59,113,-4.6
Mike Scott,12:00,.375,.375,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,77,116,-11.7
