Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tobias Harris,36:00,7,16,.438,3,5,.600,0,0,,0,3,3,2,1,0,1,2,17,+12
Ben Simmons,33:32,4,8,.500,0,0,,0,0,,4,5,9,10,2,0,2,3,8,+13
Joel Embiid,33:01,11,20,.550,3,4,.750,12,12,1.000,1,12,13,3,0,2,3,1,37,+14
Seth Curry,32:25,6,11,.545,4,8,.500,0,0,,0,6,6,5,1,0,0,3,16,+12
Danny Green,31:19,3,10,.300,2,8,.250,0,0,,2,3,5,0,1,1,2,1,8,+18
George Hill,16:46,4,7,.571,1,3,.333,2,2,1.000,0,2,2,0,0,0,1,1,11,-11
Shake Milton,15:30,1,5,.200,1,4,.250,2,2,1.000,0,4,4,3,0,0,3,1,5,-15
Dwight Howard,14:59,1,3,.333,0,0,,2,6,.333,3,6,9,3,0,2,3,4,4,-12
Matisse Thybulle,14:28,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,1,0,1,0,-11
Mike Scott,12:00,1,4,.250,1,2,.500,0,0,,0,0,0,0,0,0,0,2,3,-10
