Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jae Crowder,27:41,2,8,.250,1,6,.167,0,0,,1,5,6,2,0,0,2,1,5,-1
Deandre Ayton,26:54,8,10,.800,0,0,,3,4,.750,4,9,13,1,2,1,3,2,19,-3
Chris Paul,25:43,2,7,.286,1,3,.333,0,0,,0,2,2,9,3,0,1,4,5,+4
Devin Booker,22:32,4,16,.250,1,8,.125,3,3,1.000,0,3,3,3,1,1,6,4,12,0
Mikal Bridges,20:09,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,1,0,-5
Cameron Johnson,29:53,6,11,.545,3,8,.375,0,0,,1,4,5,2,1,0,4,3,15,+21
Cameron Payne,22:17,4,8,.500,2,3,.667,4,4,1.000,0,5,5,7,1,0,1,0,14,+16
Jevon Carter,21:10,3,7,.429,3,7,.429,0,0,,1,1,2,1,2,0,0,1,9,+23
Torrey Craig,20:19,5,6,.833,2,3,.667,2,2,1.000,1,5,6,1,1,0,1,2,14,+21
Dario Šarić,17:56,4,5,.800,0,1,.000,5,5,1.000,1,4,5,2,0,0,0,0,13,+21
Jalen Smith,3:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,+2
Ty-Shon Alexander,2:16,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+1
