Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Mikal Bridges,39:42,.666,.625,.625,.500,0.0,24.2,10.4,3.2,4.0,4.9,17.0,13.3,116,103,3.7
Devin Booker,37:22,.517,.500,.316,.158,5.6,14.7,9.5,12.3,0.0,0.0,12.9,28.1,104,118,-4.5
Chris Paul,32:15,.835,.800,.533,.267,0.0,12.8,5.5,52.9,4.9,0.0,15.2,27.6,155,107,22.7
Torrey Craig,29:57,.556,.556,.444,.000,10.5,13.7,11.9,4.4,1.8,6.5,18.2,16.5,108,108,0.5
Deandre Ayton,27:31,.282,.250,.000,.250,22.8,24.9,23.7,8.8,3.9,0.0,0.0,14.5,110,108,-4.1
Cameron Johnson,28:57,.143,.143,.857,.000,3.6,23.7,12.3,4.0,0.0,0.0,0.0,10.9,56,117,-12.1
Cameron Payne,21:32,.536,.536,.429,.000,14.5,6.4,11.0,30.1,0.0,0.0,0.0,29.2,136,119,9.8
Frank Kaminsky,15:18,.813,.813,.250,.000,0.0,17.9,7.7,0.0,0.0,0.0,0.0,23.5,159,117,9.5
Jevon Carter,6:30,.333,.333,.000,.000,0.0,0.0,0.0,20.7,0.0,0.0,0.0,20.8,94,120,-7.9
Ty-Shon Alexander,0:28,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,120,-6.1
Jalen Smith,0:28,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,120,-6.0
