Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Mikal Bridges,30:03,.742,.643,.286,.571,6.9,21.0,13.3,0.0,3.5,0.0,0.0,13.7,163,92,6.5
Deandre Ayton,26:27,.568,.545,.000,.091,19.7,33.4,25.9,0.0,0.0,3.4,0.0,20.3,136,94,1.1
Devin Booker,25:36,.444,.444,.778,.000,0.0,29.6,13.4,17.9,4.1,0.0,18.2,20.1,87,88,-2.4
Chris Paul,23:11,.781,.625,.500,1.000,4.5,5.4,4.9,56.7,0.0,0.0,25.8,15.7,156,101,8.7
Jae Crowder,20:59,.823,.773,.727,.364,5.0,6.0,5.4,9.8,2.5,0.0,0.0,28.5,167,95,19.8
Cameron Payne,23:07,.722,.722,.667,.000,0.0,10.9,4.9,54.6,0.0,0.0,0.0,18.3,169,99,12.2
Cameron Johnson,22:23,.648,.615,.769,.154,0.0,11.3,5.1,0.0,2.4,8.1,0.0,29.1,128,89,12.3
Jevon Carter,18:44,.000,.000,.600,.000,0.0,6.7,3.1,6.9,0.0,0.0,0.0,12.5,18,101,-16.9
Dario Šarić,14:16,1.025,1.000,.750,.500,0.0,35.4,16.0,12.5,3.7,0.0,38.1,25.9,110,89,10.4
Langston Galloway,11:51,.375,.375,1.000,.000,0.0,0.0,0.0,12.3,0.0,0.0,0.0,15.8,95,103,-5.9
Frank Kaminsky,7:17,.307,.250,.000,.500,14.3,17.3,15.7,0.0,0.0,0.0,0.0,31.4,82,100,-16.0
E'Twaun Moore,6:06,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,66.7,23.1,0,101,-33.5
Damian Jones,6:06,,,,,34.2,0.0,18.7,0.0,0.0,14.8,100.0,7.7,94,91,-3.7
Ty-Shon Alexander,3:54,.000,.000,.500,.000,0.0,32.4,14.7,33.3,0.0,0.0,0.0,24.0,38,94,-24.1
