Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,30:03,4,7,.571,1,2,.500,4,4,1.000,2,5,7,0,2,0,0,1,13,+31
Deandre Ayton,26:27,6,11,.545,0,0,,1,1,1.000,5,7,12,0,0,1,0,1,13,+16
Devin Booker,25:36,3,9,.333,2,7,.286,0,0,,0,6,6,3,2,0,2,3,8,+24
Chris Paul,23:11,2,4,.500,1,2,.500,4,4,1.000,1,1,2,9,0,0,2,1,9,+19
Jae Crowder,20:59,6,11,.545,5,8,.625,4,4,1.000,1,1,2,1,1,0,0,3,21,+15
Cameron Payne,23:07,5,9,.556,3,6,.500,0,0,,0,2,2,7,0,0,0,3,13,+16
Cameron Johnson,22:23,6,13,.462,4,10,.400,2,2,1.000,0,2,2,0,1,2,0,2,18,+23
Jevon Carter,18:44,0,5,.000,0,3,.000,0,0,,0,1,1,1,0,0,0,1,0,-3
Dario Šarić,14:16,3,4,.750,2,3,.667,2,2,1.000,0,4,4,1,1,0,3,1,10,+21
Langston Galloway,11:51,1,4,.250,1,4,.250,0,0,,0,0,0,1,0,0,0,0,3,+7
Frank Kaminsky,7:17,1,4,.250,0,0,,1,2,.500,1,1,2,0,0,0,0,0,3,-12
E'Twaun Moore,6:06,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,1,0,-13
Damian Jones,6:06,0,0,,0,0,,0,0,,2,0,2,0,0,1,1,0,0,-13
Ty-Shon Alexander,3:54,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,1,0,-6
