Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Deandre Ayton,32:57,.364,.364,.091,.000,19.2,20.4,19.9,4.0,0.0,2.6,31.3,20.6,70,92,-11.5
Mikal Bridges,31:31,.510,.400,.600,.400,16.0,13.4,14.4,15.6,0.0,5.5,0.0,7.9,151,95,6.5
Devin Booker,30:31,.691,.679,.500,.429,0.0,5.5,3.3,10.7,3.2,0.0,19.4,28.7,110,94,3.6
Chris Paul,29:30,.653,.607,.500,.214,0.0,20.0,12.0,47.8,1.6,0.0,11.5,24.9,136,90,11.2
Frank Kaminsky,21:49,.952,.929,.571,.286,0.0,19.3,11.6,7.1,0.0,0.0,20.2,19.2,139,94,10.0
E'Twaun Moore,20:53,.458,.458,.250,.000,0.0,4.0,2.4,22.6,7.0,0.0,20.0,30.5,83,86,-3.2
Cameron Johnson,20:12,.670,.650,.300,.100,6.3,20.8,15.0,25.7,2.4,0.0,16.1,26.2,121,89,10.7
Abdel Nader,16:34,.595,.600,.400,.400,0.0,5.1,3.0,17.4,0.0,0.0,14.5,17.6,112,102,-0.3
Langston Galloway,15:06,.833,.833,.333,.000,0.0,0.0,0.0,8.9,0.0,0.0,0.0,8.4,171,105,4.1
Damian Jones,15:03,.000,.000,.000,.000,0.0,11.2,6.7,0.0,0.0,0.0,50.0,11.3,0,97,-19.7
Jevon Carter,2:57,.000,.000,.000,.000,0.0,85.6,51.4,0.0,0.0,0.0,0.0,14.4,0,61,-11.6
Jalen Smith,2:57,.000,.000,1.000,.000,0.0,28.5,17.1,0.0,0.0,0.0,0.0,14.4,0,90,-15.2
