Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,27:42,6,7,.857,4,5,.800,3,3,1.000,1,5,6,1,1,1,1,1,19,+25
Devin Booker,26:09,7,13,.538,5,7,.714,4,4,1.000,1,4,5,5,0,0,4,1,23,+19
Chris Paul,22:29,6,9,.667,4,5,.800,0,0,,0,2,2,6,0,0,1,2,16,+13
Deandre Ayton,22:29,3,6,.500,0,0,,1,2,.500,1,5,6,1,0,2,0,0,7,+15
Frank Kaminsky,19:08,2,7,.286,2,5,.400,0,0,,0,1,1,1,0,0,0,0,6,+13
Cameron Payne,25:31,7,10,.700,5,7,.714,0,0,,0,2,2,7,1,0,2,1,19,+18
Jae Crowder,20:19,2,7,.286,1,5,.200,0,0,,1,2,3,4,1,0,0,1,5,+12
Dario Šarić,19:08,7,9,.778,3,5,.600,2,2,1.000,0,1,1,1,0,0,1,4,19,+18
E'Twaun Moore,14:59,1,3,.333,0,2,.000,2,2,1.000,1,6,7,2,0,1,0,0,4,+12
Cameron Johnson,12:50,1,6,.167,0,3,.000,0,0,,0,3,3,0,2,1,1,1,2,+4
Abdel Nader,7:28,2,3,.667,0,1,.000,0,0,,0,0,0,2,0,1,0,1,4,+2
Damian Jones,7:28,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,0,2,+2
Jevon Carter,7:28,0,1,.000,0,1,.000,0,0,,0,3,3,3,0,1,0,1,0,+2
Langston Galloway,6:52,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,0,1,2,0
