Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Booker,44:40,7,13,.538,1,3,.333,10,12,.833,1,4,5,8,0,0,2,2,25,+14
Mikal Bridges,36:11,1,7,.143,1,5,.200,4,5,.800,0,8,8,2,0,2,1,2,7,+8
Chris Paul,35:46,6,12,.500,1,3,.333,2,2,1.000,0,9,9,6,1,1,2,3,15,-8
Jae Crowder,30:52,2,6,.333,2,6,.333,0,0,,0,2,2,2,0,0,0,4,6,-5
Deandre Ayton,29:30,9,12,.750,0,0,,6,7,.857,4,4,8,2,1,0,1,5,24,-15
Cameron Johnson,22:12,3,9,.333,2,8,.250,0,0,,1,2,3,1,1,0,2,2,8,+1
Dario Šarić,17:02,6,9,.667,2,5,.400,1,2,.500,1,3,4,1,1,0,2,3,15,+12
Cameron Payne,16:29,3,6,.500,1,2,.500,0,0,,0,1,1,1,0,0,2,0,7,+6
Langston Galloway,3:58,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-19
Jevon Carter,3:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-19
