Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Deandre Ayton,35:34,.776,.733,.000,.267,20.2,33.7,27.3,14.9,0.0,11.8,10.7,22.1,148,92,13.6
Devin Booker,34:32,.607,.583,.222,.222,0.0,15.8,8.3,9.9,0.0,2.4,23.3,31.3,91,104,-5.8
Mikal Bridges,33:41,.538,.500,.429,.143,0.0,16.2,8.5,18.9,1.4,2.5,28.7,13.0,92,100,-0.1
Chris Paul,30:53,.604,.500,.333,.444,0.0,14.1,7.4,17.4,1.5,2.7,27.1,20.1,97,100,-1.6
Cameron Johnson,28:27,.444,.444,.778,.000,4.2,7.7,6.0,13.7,3.2,3.0,18.2,16.2,87,97,0.7
Jae Crowder,26:00,.396,.385,.769,.154,0.0,21.0,11.0,5.3,3.6,0.0,0.0,22.4,86,97,-1.9
Cameron Payne,18:18,.601,.500,.429,.429,0.0,11.9,6.2,38.4,0.0,4.6,0.0,19.1,142,103,7.3
Frank Kaminsky,12:26,.333,.333,.333,.000,9.7,8.8,9.2,11.3,0.0,6.8,0.0,20.3,86,101,-9.2
Abdel Nader,12:00,.727,.667,.333,.333,0.0,18.2,9.5,11.8,0.0,0.0,0.0,12.0,154,105,2.1
Jevon Carter,8:07,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,0,109,-15.2
