Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Booker,33:34,11,22,.500,1,5,.200,3,6,.500,3,6,9,4,1,0,1,2,26,+21
Mikal Bridges,33:28,5,9,.556,0,2,.000,0,0,,1,5,6,1,1,1,0,2,10,+25
Chris Paul,32:24,3,11,.273,0,3,.000,5,6,.833,1,9,10,13,3,1,2,2,11,+8
Deandre Ayton,32:03,10,13,.769,0,0,,6,7,.857,3,5,8,2,0,1,0,2,26,+22
Jae Crowder,30:35,4,10,.400,3,8,.375,0,0,,0,5,5,2,1,1,0,1,11,+22
Cameron Payne,18:44,1,3,.333,1,2,.500,2,2,1.000,0,1,1,4,0,0,2,3,5,+10
Cameron Johnson,15:50,3,4,.750,2,2,1.000,0,0,,0,3,3,0,0,2,1,1,8,-6
Dario Šarić,15:05,1,6,.167,0,3,.000,2,2,1.000,0,2,2,2,0,0,2,2,4,-4
Abdel Nader,10:49,2,2,1.000,1,1,1.000,0,0,,1,4,5,2,0,0,2,5,5,-5
Langston Galloway,8:53,1,4,.250,1,4,.250,0,0,,0,0,0,0,1,0,0,0,3,-4
Torrey Craig,6:51,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,3,2,-2
Jalen Smith,0:52,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-1
Jevon Carter,0:52,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1
