Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Devin Booker,35:14,.792,.750,.208,.417,3.8,8.9,6.6,23.9,1.4,2.1,15.0,45.2,132,126,10.7
Chris Paul,32:02,.591,.538,.000,.538,0.0,13.0,7.3,59.1,0.0,0.0,5.9,25.5,139,128,3.5
Deandre Ayton,31:49,.563,.500,.000,.250,0.0,13.1,7.4,0.0,1.6,4.6,25.3,17.8,79,122,-8.3
Mikal Bridges,28:26,.355,.375,.375,.125,0.0,7.3,4.1,4.1,1.8,0.0,0.0,14.2,75,127,-10.0
Jae Crowder,27:44,.940,1.125,1.000,.750,0.0,11.3,6.3,4.2,1.8,10.5,0.0,9.2,168,119,9.8
Dario Šarić,20:27,.847,.833,.556,.111,13.0,10.2,11.4,14.7,2.5,0.0,0.0,22.0,168,124,14.5
Cameron Johnson,19:41,.750,.750,1.000,.000,0.0,10.6,5.9,11.9,0.0,0.0,0.0,9.7,150,129,2.6
Cameron Payne,15:58,.643,.643,.429,.000,0.0,26.1,14.7,35.4,0.0,0.0,0.0,20.9,140,121,2.2
Torrey Craig,15:53,.000,.000,.333,.000,0.0,19.7,11.1,0.0,3.2,0.0,0.0,9.0,0,117,-14.2
Jevon Carter,12:46,.000,.000,.000,.000,10.4,8.2,9.2,8.2,0.0,0.0,0.0,3.7,106,130,-9.0
