Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Booker,31:26,11,20,.550,1,2,.500,7,8,.875,0,3,3,5,0,0,2,1,30,-8
Mikal Bridges,28:52,6,9,.667,2,3,.667,4,4,1.000,2,1,3,0,1,1,0,2,18,-8
Deandre Ayton,26:02,3,4,.750,0,0,,1,2,.500,4,4,8,3,1,1,0,2,7,+2
Chris Paul,23:56,3,11,.273,1,2,.500,2,2,1.000,1,1,2,6,1,0,2,0,9,-26
Torrey Craig,22:03,1,4,.250,1,4,.250,0,0,,2,1,3,0,0,0,2,3,3,-30
Cameron Payne,20:14,2,6,.333,2,4,.500,2,2,1.000,0,1,1,3,1,1,0,3,8,-3
Cameron Johnson,19:22,1,9,.111,0,6,.000,0,0,,1,1,2,0,3,0,0,1,2,-17
Jevon Carter,17:20,2,4,.500,2,3,.667,0,0,,0,1,1,1,1,0,0,0,6,-11
Frank Kaminsky,12:38,2,2,1.000,2,2,1.000,1,2,.500,0,2,2,0,0,0,1,1,7,-22
Jalen Smith,8:02,1,1,1.000,0,0,,4,4,1.000,0,2,2,0,0,0,1,2,6,-7
Langston Galloway,8:02,1,3,.333,1,2,.500,2,3,.667,0,1,1,0,0,0,0,0,5,-7
E'Twaun Moore,8:02,0,4,.000,0,3,.000,2,2,1.000,0,1,1,0,1,0,1,0,2,-7
Dario Šarić,8:02,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-7
Ty-Shon Alexander,5:59,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-9
