Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Robert Covington,37:37,.127,.000,.571,.286,6.3,13.9,9.5,6.5,1.2,0.0,0.0,7.9,65,115,-9.4
CJ McCollum,37:30,.605,.571,.476,.143,4.2,0.0,2.4,14.7,0.0,0.0,15.2,26.5,108,120,-0.9
Damian Lillard,36:31,.406,.370,.370,.111,4.3,11.4,7.4,23.1,1.2,1.9,3.4,30.3,95,114,-0.2
Norman Powell,34:41,.507,.467,.200,.267,4.5,9.0,6.5,18.9,3.8,0.0,15.2,21.5,99,110,-2.3
Jusuf Nurkić,29:21,.526,.462,.000,.385,10.7,53.3,29.0,28.0,1.5,4.8,11.6,22.1,115,102,8.5
Carmelo Anthony,19:24,.462,.462,.615,.000,0.0,16.1,6.9,0.0,4.6,0.0,0.0,25.3,96,107,2.1
Enes Kanter,14:02,.735,.667,.000,1.333,5.6,29.7,16.0,0.0,6.3,5.0,0.0,12.8,159,96,10.1
Anfernee Simons,12:52,1.031,1.000,.667,.667,6.1,8.1,7.0,11.8,0.0,0.0,20.5,14.3,162,119,8.2
Nassir Little,8:10,.000,.000,.000,.000,0.0,25.6,11.0,0.0,0.0,0.0,0.0,4.6,0,115,-17.3
Rondae Hollis-Jefferson,5:04,.568,,,,0.0,20.6,8.9,24.3,8.7,13.9,0.0,6.6,146,84,19.2
Derrick Jones,4:48,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,14.7,0.0,15.7,0,107,-17.1
