Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
CJ McCollum,34:10,.531,.447,.421,.316,2.7,9.2,5.7,15.5,0.0,3.2,0.0,28.8,112,126,0.7
Damian Lillard,33:41,.362,.375,.583,.083,0.0,12.4,5.8,31.9,1.5,3.2,7.4,18.2,86,122,-5.3
Derrick Jones,25:35,.500,.500,.556,.000,3.5,12.2,7.6,0.0,0.0,0.0,10.0,17.8,87,127,-8.9
Jusuf Nurkić,21:52,.658,.611,.222,.222,4.1,9.5,6.7,25.3,2.2,0.0,16.8,24.7,114,122,1.7
Robert Covington,21:25,.129,.000,1.000,.667,0.0,19.5,9.1,18.2,2.3,0.0,0.0,8.2,62,119,-7.3
Gary Trent,26:08,.458,.458,.417,.000,0.0,8.0,3.7,18.6,3.7,0.0,0.0,20.9,96,120,0.9
Enes Kanter,25:54,1.000,1.000,.000,.000,3.5,28.2,15.0,0.0,0.0,0.0,0.0,12.3,202,122,3.6
Carmelo Anthony,24:04,.512,.417,.000,.500,3.8,13.0,8.1,0.0,2.0,0.0,6.4,29.6,98,122,-6.2
Rodney Hood,13:50,.000,.000,.000,.000,0.0,22.6,10.5,18.8,0.0,0.0,0.0,9.9,35,124,-12.9
Harry Giles,4:27,.750,.750,.500,.000,0.0,46.9,21.8,0.0,0.0,24.5,0.0,20.5,127,102,12.7
CJ Elleby,4:27,.500,.500,.500,.000,20.4,23.4,21.8,41.1,0.0,0.0,0.0,20.5,131,122,-1.8
Keljin Blevins,4:27,.000,.000,.500,.000,0.0,0.0,0.0,29.2,0.0,0.0,33.3,30.7,18,131,-34.0
