Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nassir Little,29:39,11,18,.611,5,7,.714,3,3,1.000,5,1,6,1,1,2,1,2,30,-10
Gary Trent,29:03,3,13,.231,2,8,.250,0,0,,0,2,2,0,0,1,0,1,8,-18
Robert Covington,27:52,2,9,.222,1,5,.200,0,0,,2,6,8,2,2,0,2,2,5,-19
Damian Lillard,27:25,6,13,.462,2,7,.286,5,5,1.000,1,2,3,7,1,1,0,0,19,-32
Enes Kanter,25:00,5,12,.417,0,0,,0,0,,4,7,11,0,0,0,4,1,10,-33
Anfernee Simons,30:09,5,15,.333,3,8,.375,2,2,1.000,0,3,3,5,0,2,0,2,15,-15
Carmelo Anthony,18:21,1,7,.143,0,1,.000,2,2,1.000,0,2,2,1,1,0,3,1,4,-18
Harry Giles,16:55,2,6,.333,0,1,.000,1,1,1.000,2,4,6,2,0,0,0,1,5,+4
Rodney Hood,16:50,2,5,.400,1,2,.500,0,0,,0,1,1,1,1,0,1,0,5,-17
CJ Elleby,9:23,2,5,.400,1,3,.333,0,0,,0,3,3,0,1,0,0,0,5,+9
Keljin Blevins,9:23,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,+9
