Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Damian Lillard,28:57,.810,.786,.571,.333,0.0,21.9,12.6,42.3,4.7,0.0,4.0,36.1,161,102,24.6
CJ McCollum,25:32,.635,.571,.643,.286,0.0,10.6,6.1,19.9,0.0,3.6,6.0,27.4,129,115,1.5
Robert Covington,23:24,.375,.375,.750,.000,0.0,15.5,8.9,13.1,1.9,0.0,33.3,10.7,77,110,-7.6
Jusuf Nurkić,23:02,.781,.800,.000,.200,10.7,19.7,15.9,12.9,2.0,0.0,15.5,23.3,137,109,1.7
Derrick Jones,18:49,.922,.875,.500,.500,0.0,14.4,8.3,6.2,2.4,0.0,0.0,10.8,189,109,2.3
Gary Trent,27:24,.514,.429,.714,.571,0.0,3.3,1.9,0.0,0.0,0.0,18.6,16.4,84,120,-13.8
Carmelo Anthony,21:02,.500,.500,.444,.000,5.9,8.6,7.4,17.2,2.1,0.0,0.0,17.8,121,113,-1.4
Rodney Hood,16:01,.167,.167,.500,.000,0.0,5.7,3.3,13.0,0.0,5.8,0.0,15.6,59,116,-14.2
Enes Kanter,13:54,1.000,1.000,.000,.000,26.6,26.1,26.3,10.9,6.5,13.3,28.6,21.0,149,89,12.4
Anfernee Simons,12:00,.680,.700,.400,.400,0.0,37.7,21.7,10.8,0.0,0.0,25.4,27.4,100,106,-6.2
Harry Giles,11:04,.500,.500,.333,.000,0.0,16.4,9.4,0.0,4.1,0.0,40.0,18.8,55,104,-18.6
Nassir Little,7:47,1.000,1.000,.000,.000,0.0,11.6,6.7,0.0,0.0,11.9,50.0,10.7,81,110,-6.3
CJ Elleby,7:20,1.064,1.000,.000,2.000,0.0,0.0,0.0,0.0,0.0,12.6,0.0,10.7,227,115,7.0
Keljin Blevins,3:44,,,,,0.0,0.0,0.0,26.2,0.0,0.0,,0.0,237,120,-3.9
