Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard,35:35,10,23,.435,3,10,.300,12,12,1.000,0,3,3,6,1,1,5,2,35,-3
Derrick Jones,29:46,2,4,.500,0,2,.000,1,3,.333,1,4,5,1,2,3,0,1,5,-2
Robert Covington,28:46,4,8,.500,1,5,.200,0,0,,0,3,3,1,3,0,1,5,9,+2
Enes Kanter,27:00,4,8,.500,0,0,,1,1,1.000,2,6,8,5,0,0,1,2,9,-4
Rodney Hood,25:25,9,14,.643,2,6,.333,1,1,1.000,0,2,2,2,1,0,3,0,21,-13
Carmelo Anthony,26:22,6,13,.462,2,3,.667,0,0,,0,3,3,2,2,1,1,2,14,-17
Gary Trent,23:54,1,9,.111,0,3,.000,0,0,,3,0,3,1,0,0,1,0,2,-11
Harry Giles,15:29,1,2,.500,0,0,,0,0,,1,2,3,1,0,0,1,1,2,-20
Anfernee Simons,15:18,2,7,.286,2,5,.400,0,0,,0,0,0,1,0,1,0,1,6,-22
Nassir Little,8:55,0,2,.000,0,1,.000,1,2,.500,1,3,4,0,0,0,0,1,1,-11
Keljin Blevins,3:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
