Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Robert Covington,31:11,.600,.600,.800,.000,0.0,28.9,10.9,10.0,3.3,3.1,16.7,8.9,104,134,-1.7
Damian Lillard,29:36,.522,.438,.438,.313,0.0,5.1,1.9,28.6,1.7,0.0,0.0,28.6,115,144,-0.1
CJ McCollum,23:58,.421,.400,.333,.067,3.8,6.3,4.7,9.1,2.1,0.0,0.0,29.9,91,143,-5.7
Derrick Jones,20:12,.820,.875,.500,.500,4.5,14.9,8.4,0.0,2.5,4.8,0.0,11.2,163,137,2.1
Enes Kanter,15:32,.667,.667,.000,.000,11.7,38.6,21.8,22.2,0.0,0.0,40.0,14.9,101,142,-7.4
Carmelo Anthony,21:33,.304,.222,.444,.222,0.0,13.9,5.2,7.5,0.0,0.0,9.2,23.4,62,146,-17.2
Gary Trent,21:32,.576,.577,.538,.154,0.0,13.9,5.2,10.8,4.8,0.0,0.0,29.9,114,135,6.9
Nassir Little,21:28,.625,.556,.556,.556,4.2,7.0,5.3,8.9,0.0,0.0,0.0,24.2,132,147,0.4
Rodney Hood,18:58,.200,.200,.400,.000,4.8,23.7,11.9,24.1,0.0,0.0,0.0,12.2,76,145,-10.1
Harry Giles,12:00,.000,.000,.500,.000,15.1,25.0,18.8,11.8,0.0,8.2,33.3,11.6,53,139,-13.9
CJ Elleby,12:00,.000,.000,.667,.000,7.5,0.0,4.7,0.0,0.0,0.0,0.0,11.6,25,149,-19.9
Anfernee Simons,12:00,.340,.300,.400,.400,0.0,0.0,0.0,13.3,0.0,0.0,14.5,26.6,65,149,-14.4
