Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard,36:23,9,19,.474,5,7,.714,10,11,.909,1,3,4,10,1,0,2,2,33,+16
CJ McCollum,35:55,8,16,.500,4,8,.500,4,4,1.000,0,3,3,6,1,2,1,1,24,+14
Norman Powell,33:38,5,10,.500,1,3,.333,3,3,1.000,0,3,3,2,3,2,1,3,14,+21
Robert Covington,30:28,6,8,.750,4,5,.800,0,0,,0,6,6,1,3,1,1,2,16,+22
Jusuf Nurkić,20:41,2,4,.500,0,0,,2,3,.667,1,5,6,4,1,0,4,3,6,+15
Enes Kanter,26:33,4,4,1.000,0,0,,2,2,1.000,1,7,8,1,0,0,1,3,10,+9
Carmelo Anthony,21:55,6,13,.462,1,4,.250,3,3,1.000,0,3,3,0,1,0,3,2,16,0
Derrick Jones,18:14,1,5,.200,1,2,.500,0,0,,3,1,4,0,1,2,0,1,3,+4
Anfernee Simons,13:39,0,2,.000,0,1,.000,0,0,,0,4,4,3,0,0,0,3,0,+4
Harry Giles,1:17,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,+5
CJ Elleby,1:17,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+5
