Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Damian Lillard,31:19,.797,.765,.588,.412,0.0,8.4,4.8,36.6,3.1,0.0,9.1,29.9,159,108,17.7
CJ McCollum,31:17,.317,.250,.357,.286,0.0,2.8,1.6,15.9,1.5,2.8,6.0,22.8,87,111,-10.7
Robert Covington,26:24,.643,.643,1.000,.000,4.4,13.2,9.5,3.8,1.8,3.4,0.0,11.3,146,106,1.5
Jusuf Nurkić,20:36,.638,.650,.100,.400,17.0,33.9,26.7,17.9,0.0,17.3,7.8,26.3,139,93,10.7
Derrick Jones,20:17,.868,1.000,.000,1.000,0.0,4.3,2.5,0.0,0.0,0.0,51.0,12.3,71,115,-12.6
Anfernee Simons,25:03,.833,.833,.333,.000,0.0,10.5,6.0,4.2,0.0,0.0,14.3,11.9,141,114,-1.3
Carmelo Anthony,21:42,.820,.750,.500,.500,0.0,20.1,11.5,15.8,2.2,4.1,9.3,21.1,160,102,10.9
Enes Kanter,21:21,.818,.818,.000,.000,27.4,32.7,30.4,0.0,0.0,4.2,0.0,21.9,176,103,9.3
Nassir Little,14:06,1.163,1.167,.333,.333,8.3,6.2,7.1,0.0,0.0,0.0,0.0,10.4,234,116,8.3
Harry Giles,6:01,.551,.600,.400,.200,0.0,0.0,0.0,27.4,8.0,14.8,0.0,38.4,119,88,9.3
Rondae Hollis-Jefferson,6:01,.667,.667,.000,.000,0.0,43.5,24.9,21.5,0.0,0.0,0.0,21.2,148,102,8.0
CJ Elleby,5:55,.694,.500,.000,1.000,19.8,29.5,25.4,36.1,0.0,0.0,0.0,20.7,178,107,16.8
Keljin Blevins,4:59,.000,.000,1.000,.000,0.0,35.0,20.1,0.0,0.0,0.0,50.0,17.0,0,105,-21.9
T.J. Leaf,4:59,.667,.667,.000,.000,0.0,35.0,20.1,0.0,9.7,0.0,0.0,25.6,132,81,7.7
