Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tyrese Haliburton,36:13,.438,.438,.563,.000,0.0,13.5,7.7,38.9,4.3,0.0,20.0,25.3,100,110,-0.5
Maurice Harkless,35:04,.798,.500,.500,2.000,0.0,11.2,6.4,3.4,3.0,0.0,21.0,6.2,140,113,0.3
Buddy Hield,30:37,.621,.583,.583,.167,0.0,16.0,9.1,22.9,1.7,0.0,13.4,22.2,125,114,3.7
Richaun Holmes,25:28,.820,.750,.000,.500,10.2,15.4,13.1,0.0,0.0,11.3,12.0,29.9,147,111,6.1
Harrison Barnes,23:44,.873,.850,.400,.200,5.5,20.6,14.1,14.5,0.0,0.0,8.4,22.9,164,117,12.9
Damian Jones,22:32,.633,.600,.000,.600,23.0,13.0,17.3,6.0,0.0,0.0,24.0,16.9,120,119,-5.1
Delon Wright,21:50,.371,.389,.111,.111,17.8,13.5,15.3,6.2,0.0,0.0,17.5,24.0,85,119,-11.7
Terence Davis,19:12,1.000,1.000,.500,.000,0.0,10.2,5.8,7.2,0.0,5.0,20.0,11.9,149,117,5.7
Chimezie Metu,14:16,.750,.750,.500,.000,0.0,20.6,11.7,0.0,0.0,0.0,0.0,19.2,149,115,0.0
Kyle Guy,11:04,.200,.200,.400,.000,11.7,8.9,10.1,23.0,0.0,0.0,16.7,24.8,70,120,-17.9
