Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Haliburton,38:35,8,14,.571,4,8,.500,3,3,1.000,1,3,4,10,2,1,4,0,23,+12
Buddy Hield,32:24,1,11,.091,0,5,.000,0,0,,2,4,6,7,2,0,1,1,2,+13
Richaun Holmes,30:34,9,14,.643,0,1,.000,4,5,.800,2,7,9,3,0,1,2,4,22,+8
Maurice Harkless,29:38,2,6,.333,0,3,.000,2,2,1.000,0,2,2,0,0,0,2,2,6,-3
Chimezie Metu,13:48,3,5,.600,1,3,.333,3,4,.750,2,1,3,0,0,0,2,2,10,+2
Delon Wright,26:34,4,11,.364,3,5,.600,0,0,,2,4,6,7,1,1,2,1,11,0
Terence Davis,23:33,5,12,.417,3,7,.429,2,2,1.000,1,0,1,0,2,0,1,2,15,-3
Marvin Bagley,20:44,4,9,.444,1,1,1.000,2,2,1.000,1,3,4,1,2,0,3,2,11,-10
Damian Jones,17:26,3,4,.750,0,0,,4,4,1.000,0,2,2,1,1,0,0,2,10,-4
Justin James,6:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+5
