Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Harrison Barnes,40:25,5,14,.357,2,7,.286,9,14,.643,2,6,8,7,2,1,0,3,21,+6
De'Aaron Fox,38:24,9,21,.429,1,7,.143,8,11,.727,0,5,5,6,1,2,2,3,27,+10
Buddy Hield,37:41,4,14,.286,3,9,.333,3,5,.600,0,2,2,3,0,0,1,3,14,+2
Richaun Holmes,33:09,6,8,.750,0,0,,7,7,1.000,6,11,17,1,0,2,1,5,19,+19
Marvin Bagley,27:39,9,13,.692,0,1,.000,1,2,.500,3,5,8,1,1,0,1,3,19,-7
Cory Joseph,18:23,0,7,.000,0,3,.000,0,0,,2,1,3,1,0,1,1,3,0,-12
Kyle Guy,14:32,0,2,.000,0,2,.000,0,0,,0,0,0,2,0,0,1,2,0,-1
DaQuan Jeffries,14:26,1,6,.167,0,2,.000,0,0,,0,1,1,0,0,0,2,3,2,-5
Nemanja Bjelica,12:06,3,4,.750,1,1,1.000,1,2,.500,1,3,4,3,1,0,0,0,8,+8
Justin James,3:15,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-5
