Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Buddy Hield,38:16,9,21,.429,8,18,.444,0,0,,0,6,6,5,1,0,0,5,26,+3
De'Aaron Fox,36:23,9,18,.500,5,8,.625,6,8,.750,2,4,6,6,1,0,2,1,29,0
Harrison Barnes,35:12,3,9,.333,0,2,.000,5,6,.833,1,5,6,3,1,0,4,1,11,-3
Richaun Holmes,34:41,6,6,1.000,0,0,,5,6,.833,2,7,9,6,0,1,0,4,17,+4
Marvin Bagley,19:08,4,5,.800,1,2,.500,2,4,.500,0,6,6,1,0,0,0,3,11,+3
Tyrese Haliburton,31:12,7,10,.700,3,4,.750,0,0,,1,4,5,9,1,0,4,1,17,-14
Cory Joseph,17:14,1,5,.200,1,3,.333,0,0,,1,1,2,2,0,0,1,1,3,-12
Glenn Robinson,14:43,1,3,.333,1,1,1.000,0,0,,0,0,0,2,0,0,0,1,3,-4
Hassan Whiteside,9:42,3,6,.500,0,0,,1,2,.500,1,1,2,1,0,1,1,0,7,-1
Chimezie Metu,3:29,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-6
